# Rich high-density colored portrait coordinates
# Format: x y r g b   (r,g,b in 0-1 range)
# Total points: 376217
# Sorted top-to-bottom for sequential assembly
# Image: formal suit portrait
#
0.114557 0.924740 0.2275 0.2118 0.2157
0.118698 0.924740 0.2118 0.1765 0.1882
0.122839 0.924740 0.1961 0.1608 0.1647
0.126979 0.924740 0.3059 0.2706 0.2745
0.131120 0.924740 0.6000 0.5647 0.5686
0.135260 0.924740 0.8863 0.8627 0.8627
-0.049688 0.923359 0.9176 0.9137 0.9059
-0.045547 0.923359 0.7451 0.7412 0.7333
-0.041406 0.923359 0.5294 0.5059 0.5059
-0.037266 0.923359 0.3373 0.3020 0.3059
-0.033125 0.923359 0.2510 0.2157 0.2196
-0.028984 0.923359 0.2627 0.2275 0.2314
-0.024844 0.923359 0.2588 0.2235 0.2275
-0.020703 0.923359 0.2510 0.2157 0.2196
-0.016563 0.923359 0.2157 0.1922 0.1922
-0.012422 0.923359 0.2118 0.1882 0.1882
-0.008281 0.923359 0.2157 0.2000 0.2039
-0.004141 0.923359 0.2118 0.1961 0.2000
0.000000 0.923359 0.2196 0.2039 0.2078
0.004141 0.923359 0.2314 0.2157 0.2196
0.008281 0.923359 0.2275 0.2118 0.2157
0.012422 0.923359 0.2275 0.2039 0.2118
0.016563 0.923359 0.2392 0.2157 0.2235
0.020703 0.923359 0.2196 0.1961 0.2039
0.024844 0.923359 0.2235 0.2000 0.2078
0.028984 0.923359 0.2039 0.1804 0.1882
0.033125 0.923359 0.1765 0.1529 0.1608
0.037266 0.923359 0.1647 0.1412 0.1490
0.041406 0.923359 0.1608 0.1373 0.1451
0.045547 0.923359 0.1725 0.1490 0.1569
0.049688 0.923359 0.1804 0.1569 0.1647
0.053828 0.923359 0.1686 0.1451 0.1529
0.057969 0.923359 0.1647 0.1412 0.1490
0.062109 0.923359 0.1765 0.1529 0.1608
0.066250 0.923359 0.1686 0.1451 0.1529
0.070391 0.923359 0.1569 0.1216 0.1333
0.074531 0.923359 0.1647 0.1294 0.1412
0.078672 0.923359 0.1765 0.1412 0.1529
0.082813 0.923359 0.1882 0.1529 0.1647
0.086953 0.923359 0.1608 0.1255 0.1373
0.091094 0.923359 0.1765 0.1608 0.1647
0.095234 0.923359 0.1804 0.1647 0.1686
0.099375 0.923359 0.2118 0.1961 0.2000
0.103516 0.923359 0.2275 0.2118 0.2157
0.107656 0.923359 0.2471 0.2314 0.2353
0.111797 0.923359 0.2627 0.2471 0.2510
0.115938 0.923359 0.2510 0.2275 0.2353
0.120078 0.923359 0.2471 0.2118 0.2235
0.124219 0.923359 0.2039 0.1647 0.1686
0.128359 0.923359 0.2392 0.2039 0.2078
0.132500 0.923359 0.4627 0.4275 0.4314
0.136641 0.923359 0.7490 0.7255 0.7255
0.140781 0.923359 0.8980 0.8745 0.8745
-0.059349 0.921979 0.9373 0.9216 0.9176
-0.055208 0.921979 0.8745 0.8588 0.8549
-0.051068 0.921979 0.7725 0.7569 0.7529
-0.046927 0.921979 0.6000 0.5843 0.5804
-0.042786 0.921979 0.3490 0.3333 0.3294
-0.038646 0.921979 0.2667 0.2431 0.2431
-0.034505 0.921979 0.2588 0.2353 0.2353
-0.030365 0.921979 0.2431 0.2196 0.2196
-0.026224 0.921979 0.2431 0.2196 0.2196
-0.022083 0.921979 0.2471 0.2235 0.2235
-0.017943 0.921979 0.2275 0.2039 0.2039
-0.013802 0.921979 0.2000 0.1765 0.1765
-0.009661 0.921979 0.2078 0.1922 0.1882
-0.005521 0.921979 0.2235 0.2078 0.2118
-0.001380 0.921979 0.2196 0.2039 0.2078
0.002760 0.921979 0.2275 0.2118 0.2157
0.006901 0.921979 0.2353 0.2196 0.2235
0.011042 0.921979 0.2235 0.2078 0.2118
0.015182 0.921979 0.2275 0.2118 0.2157
0.019323 0.921979 0.2196 0.1961 0.2039
