# Medium-density face coordinates (every 2nd point)
# Format: x y  (normalized, origin at image center, Y positive upward)
# Total points: 30892
# Sorted top-to-bottom
#
-0.232891 0.940818
-0.217468 0.940818
-0.202044 0.940818
-0.186621 0.940818
-0.171198 0.940818
-0.155775 0.940818
-0.140352 0.940818
-0.124928 0.940818
-0.089455 0.940818
-0.074032 0.940818
-0.058608 0.940818
-0.035473 0.940818
-0.020050 0.940818
0.009254 0.940818
0.038558 0.940818
0.053981 0.940818
0.069405 0.940818
0.084828 0.940818
0.100251 0.940818
0.115674 0.940818
0.131098 0.940818
0.146521 0.940818
0.161944 0.940818
0.177367 0.940818
0.195875 0.940818
0.211298 0.940818
0.232891 0.940818
0.251399 0.940818
-0.296126 0.939275
-0.274534 0.939275
-0.254483 0.939275
-0.239060 0.939275
-0.223637 0.939275
-0.208214 0.939275
-0.192791 0.939275
-0.165029 0.939275
-0.141894 0.939275
-0.126471 0.939275
-0.111047 0.939275
-0.075574 0.939275
-0.060151 0.939275
-0.044727 0.939275
-0.029304 0.939275
-0.006169 0.939275
0.009254 0.939275
0.037016 0.939275
0.052439 0.939275
0.067862 0.939275
0.100251 0.939275
0.165029 0.939275
0.180452 0.939275
0.200502 0.939275
0.215925 0.939275
0.232891 0.939275
0.251399 0.939275
-0.297669 0.937733
-0.274534 0.937733
-0.254483 0.937733
-0.239060 0.937733
-0.223637 0.937733
-0.208214 0.937733
-0.178910 0.937733
-0.114132 0.937733
-0.098709 0.937733
-0.083286 0.937733
-0.067862 0.937733
-0.052439 0.937733
-0.037016 0.937733
-0.021593 0.937733
-0.006169 0.937733
0.009254 0.937733
0.024677 0.937733
0.040100 0.937733
0.055524 0.937733
0.070947 0.937733
0.168113 0.937733
0.194333 0.937733
0.209756 0.937733
0.225179 0.937733
0.246772 0.937733
-0.311549 0.936191
-0.282245 0.936191
-0.260653 0.936191
-0.245230 0.936191
-0.225179 0.936191
-0.209756 0.936191
-0.175825 0.936191
-0.135725 0.936191
-0.101793 0.936191
-0.086370 0.936191
-0.070947 0.936191
-0.055524 0.936191
-0.040100 0.936191
-0.024677 0.936191
-0.009254 0.936191
0.006169 0.936191
0.021593 0.936191
0.037016 0.936191
0.052439 0.936191
0.067862 0.936191
0.083286 0.936191
0.107963 0.936191
0.123386 0.936191
0.138809 0.936191
0.197417 0.936191
0.212841 0.936191
0.228264 0.936191
0.243687 0.936191
-0.302296 0.934649
-0.277618 0.934649
-0.262195 0.934649
-0.246772 0.934649
-0.226722 0.934649
-0.192791 0.934649
-0.149605 0.934649
-0.129555 0.934649
-0.104878 0.934649
-0.089455 0.934649
-0.074032 0.934649
-0.058608 0.934649
-0.043185 0.934649
-0.027762 0.934649
-0.003085 0.934649
0.012339 0.934649
0.027762 0.934649
0.043185 0.934649
0.058608 0.934649
0.074032 0.934649
0.089455 0.934649
0.104878 0.934649
0.120301 0.934649
0.135725 0.934649
0.151148 0.934649
0.206671 0.934649
0.222095 0.934649
