# High-density portrait coordinates (removes banding)
# Format: x y
# Total points: 168216
# Sorted top-to-bottom
#
-0.818581 1.051017
-0.807352 1.051017
-0.796123 1.051017
-0.784894 1.051017
-0.773665 1.051017
-0.762436 1.051017
-0.751208 1.051017
-0.739979 1.051017
-0.728750 1.051017
-0.717521 1.051017
-0.706292 1.051017
-0.695064 1.051017
-0.683835 1.051017
-0.672606 1.051017
-0.661377 1.051017
-0.650148 1.051017
-0.638919 1.051017
-0.627691 1.051017
-0.616462 1.051017
-0.605233 1.051017
-0.594004 1.051017
-0.582775 1.051017
-0.571547 1.051017
-0.560318 1.051017
-0.549089 1.051017
-0.537860 1.051017
-0.526631 1.051017
-0.515403 1.051017
-0.504174 1.051017
-0.492945 1.051017
-0.481716 1.051017
-0.470487 1.051017
-0.459258 1.051017
-0.448030 1.051017
-0.436801 1.051017
-0.425572 1.051017
-0.414343 1.051017
-0.403114 1.051017
-0.391886 1.051017
-0.380657 1.051017
-0.369428 1.051017
-0.358199 1.051017
-0.346970 1.051017
-0.335742 1.051017
-0.324513 1.051017
-0.313284 1.051017
-0.302055 1.051017
-0.290826 1.051017
-0.279597 1.051017
-0.268369 1.051017
-0.257140 1.051017
-0.245911 1.051017
-0.234682 1.051017
-0.223453 1.051017
-0.212225 1.051017
-0.200996 1.051017
-0.189767 1.051017
-0.178538 1.051017
-0.167309 1.051017
-0.156081 1.051017
-0.144852 1.051017
-0.133623 1.051017
-0.122394 1.051017
-0.111165 1.051017
-0.099936 1.051017
-0.088708 1.051017
-0.077479 1.051017
-0.066250 1.051017
-0.055021 1.051017
-0.043792 1.051017
-0.032564 1.051017
-0.021335 1.051017
-0.010106 1.051017
0.001123 1.051017
0.012352 1.051017
0.023581 1.051017
0.034809 1.051017
0.046038 1.051017
0.057267 1.051017
0.068496 1.051017
0.079725 1.051017
0.090953 1.051017
0.102182 1.051017
0.113411 1.051017
0.124640 1.051017
0.135869 1.051017
0.147097 1.051017
0.158326 1.051017
0.169555 1.051017
0.180784 1.051017
0.192013 1.051017
0.203242 1.051017
0.214470 1.051017
0.225699 1.051017
0.236928 1.051017
0.248157 1.051017
0.259386 1.051017
0.270614 1.051017
0.281843 1.051017
0.293072 1.051017
0.304301 1.051017
0.315530 1.051017
0.326758 1.051017
0.337987 1.051017
0.349216 1.051017
0.360445 1.051017
0.371674 1.051017
0.382903 1.051017
0.394131 1.051017
0.405360 1.051017
0.416589 1.051017
0.427818 1.051017
0.439047 1.051017
0.450275 1.051017
0.461504 1.051017
0.472733 1.051017
0.483962 1.051017
0.495191 1.051017
0.506419 1.051017
0.517648 1.051017
0.528877 1.051017
0.540106 1.051017
0.551335 1.051017
0.562564 1.051017
0.573792 1.051017
0.585021 1.051017
0.596250 1.051017
0.607479 1.051017
0.618708 1.051017
0.629936 1.051017
0.641165 1.051017
0.652394 1.051017
0.663623 1.051017
0.674852 1.051017
0.686081 1.051017
0.697309 1.051017
0.708538 1.051017
0.719767 1.051017
0.730996 1.051017
0.742225 1.051017
0.753453 1.051017
0.764682 1.051017
0.775911 1.051017
0.787140 1.051017
0.798369 1.051017
0.809597 1.051017
0.820826 1.051017
0.832055 1.051017
0.843284 1.051017
0.854513 1.051017
0.865742 1.051017
0.876970 1.051017
0.888199 1.051017
0.899428 1.051017
0.910657 1.051017
0.921886 1.051017
0.933114 1.051017
0.944343 1.051017
0.955572 1.051017
0.966801 1.051017
0.978030 1.051017
0.989258 1.051017
-1.000487 1.048771
-0.989258 1.048771
-0.978030 1.048771
-0.966801 1.048771
-0.955572 1.048771
-0.944343 1.048771
-0.933114 1.048771
-0.921886 1.048771
-0.910657 1.048771
-0.899428 1.048771
-0.888199 1.048771
-0.876970 1.048771
-0.865742 1.048771
-0.854513 1.048771
-0.843284 1.048771
