# Ultra-dense + color (420544 points)
# Format: x y r g b
#
-0.322267 1.060000 0.0000 0.0000 0.0000
-0.317775 1.060000 0.0000 0.0000 0.0000
-0.313284 1.060000 0.0000 0.0000 0.0000
-0.308792 1.060000 0.0000 0.0000 0.0000
-0.304301 1.060000 0.0000 0.0000 0.0000
-0.299809 1.060000 0.0000 0.0000 0.0000
-0.295318 1.060000 0.0000 0.0000 0.0000
-0.290826 1.060000 0.0000 0.0000 0.0000
-0.286335 1.060000 0.0000 0.0000 0.0000
-0.281843 1.060000 0.0000 0.0000 0.0000
-0.277352 1.060000 0.0000 0.0000 0.0000
-0.272860 1.060000 0.0000 0.0000 0.0000
-0.268369 1.060000 0.0000 0.0000 0.0000
-0.263877 1.060000 0.0000 0.0000 0.0000
-0.259386 1.060000 0.0000 0.0000 0.0000
-0.254894 1.060000 0.0000 0.0000 0.0000
-0.250403 1.060000 0.0000 0.0000 0.0000
-0.245911 1.060000 0.0000 0.0000 0.0000
-0.241419 1.060000 0.0000 0.0000 0.0000
-0.236928 1.060000 0.0000 0.0000 0.0000
-0.232436 1.060000 0.0000 0.0000 0.0000
-0.227945 1.060000 0.0000 0.0000 0.0000
-0.223453 1.060000 0.0000 0.0000 0.0000
-0.218962 1.060000 0.0000 0.0000 0.0000
-0.214470 1.060000 0.0000 0.0000 0.0000
-0.209979 1.060000 0.0000 0.0000 0.0000
-0.205487 1.060000 0.0000 0.0000 0.0000
-0.200996 1.060000 0.0000 0.0000 0.0000
-0.196504 1.060000 0.0000 0.0000 0.0000
-0.192013 1.060000 0.0000 0.0000 0.0000
-0.187521 1.060000 0.0000 0.0000 0.0000
-0.183030 1.060000 0.0000 0.0000 0.0000
-0.178538 1.060000 0.0000 0.0000 0.0000
-0.174047 1.060000 0.0000 0.0000 0.0000
-0.169555 1.060000 0.0000 0.0000 0.0000
-0.165064 1.060000 0.0000 0.0000 0.0000
-0.160572 1.060000 0.0000 0.0000 0.0000
-0.156081 1.060000 0.0000 0.0000 0.0000
-0.151589 1.060000 0.0000 0.0000 0.0000
-0.147097 1.060000 0.0000 0.0000 0.0000
-0.142606 1.060000 0.0000 0.0000 0.0000
-0.138114 1.060000 0.0000 0.0000 0.0000
-0.133623 1.060000 0.0000 0.0000 0.0000
-0.129131 1.060000 0.0000 0.0000 0.0000
-0.124640 1.060000 0.0000 0.0000 0.0000
-0.120148 1.060000 0.0000 0.0000 0.0000
-0.115657 1.060000 0.0000 0.0000 0.0000
-0.111165 1.060000 0.0000 0.0000 0.0000
-0.106674 1.060000 0.0000 0.0000 0.0000
-0.102182 1.060000 0.0000 0.0000 0.0000
-0.097691 1.060000 0.0000 0.0000 0.0000
-0.093199 1.060000 0.0000 0.0000 0.0000
-0.088708 1.060000 0.0000 0.0000 0.0000
-0.084216 1.060000 0.0000 0.0000 0.0000
-0.079725 1.060000 0.0000 0.0000 0.0000
-0.075233 1.060000 0.0000 0.0000 0.0000
-0.070742 1.060000 0.0000 0.0000 0.0000
-0.066250 1.060000 0.0000 0.0000 0.0000
-0.061758 1.060000 0.0000 0.0000 0.0000
-0.057267 1.060000 0.0000 0.0000 0.0000
-0.052775 1.060000 0.0000 0.0000 0.0000
-0.048284 1.060000 0.0000 0.0000 0.0000
-0.043792 1.060000 0.0000 0.0000 0.0000
-0.039301 1.060000 0.0000 0.0000 0.0000
-0.034809 1.060000 0.0000 0.0000 0.0000
-0.030318 1.060000 0.0000 0.0000 0.0000
-0.025826 1.060000 0.0000 0.0000 0.0000
-0.021335 1.060000 0.0000 0.0000 0.0000
-0.016843 1.060000 0.0000 0.0000 0.0000
-0.012352 1.060000 0.0000 0.0000 0.0000
-0.007860 1.060000 0.0000 0.0000 0.0000
-0.003369 1.060000 0.0000 0.0000 0.0000
0.001123 1.060000 0.0000 0.0000 0.0000
0.005614 1.060000 0.0000 0.0000 0.0000
0.010106 1.060000 0.0000 0.0000 0.0000
0.014597 1.060000 0.0000 0.0000 0.0000
0.019089 1.060000 0.0000 0.0000 0.0000
0.023581 1.060000 0.0000 0.0000 0.0000
0.028072 1.060000 0.0000 0.0000 0.0000
0.032564 1.060000 0.0000 0.0000 0.0000
0.037055 1.060000 0.0000 0.0000 0.0000
0.041547 1.060000 0.0000 0.0000 0.0000
0.046038 1.060000 0.0000 0.0000 0.0000
0.050530 1.060000 0.0000 0.0000 0.0000
0.055021 1.060000 0.0000 0.0000 0.0000
0.059513 1.060000 0.0000 0.0000 0.0000
0.064004 1.060000 0.0000 0.0000 0.0000
0.068496 1.060000 0.0000 0.0000 0.0000
0.072987 1.060000 0.0000 0.0000 0.0000
0.077479 1.060000 0.0000 0.0000 0.0000
0.081970 1.060000 0.0000 0.0000 0.0000
0.086462 1.060000 0.0000 0.0000 0.0000
0.090953 1.060000 0.0000 0.0000 0.0000
0.095445 1.060000 0.0000 0.0000 0.0000
0.099936 1.060000 0.0000 0.0000 0.0000
0.104428 1.060000 0.0000 0.0000 0.0000
0.108919 1.060000 0.0000 0.0000 0.0000
0.113411 1.060000 0.0000 0.0000 0.0000
0.117903 1.060000 0.0000 0.0000 0.0000
0.122394 1.060000 0.0000 0.0000 0.0000
0.126886 1.060000 0.0000 0.0000 0.0000
0.131377 1.060000 0.0000 0.0000 0.0000
0.135869 1.060000 0.0000 0.0000 0.0000
0.140360 1.060000 0.0000 0.0000 0.0000
0.144852 1.060000 0.0000 0.0000 0.0000
0.149343 1.060000 0.0000 0.0000 0.0000
0.153835 1.060000 0.0000 0.0000 0.0000
0.158326 1.060000 0.0000 0.0000 0.0000
0.162818 1.060000 0.0000 0.0000 0.0000
0.167309 1.060000 0.0000 0.0000 0.0000
0.171801 1.060000 0.0000 0.0000 0.0000
0.176292 1.060000 0.0000 0.0000 0.0000
0.180784 1.060000 0.0000 0.0000 0.0000
0.185275 1.060000 0.0000 0.0000 0.0000
0.189767 1.060000 0.0000 0.0000 0.0000
0.194258 1.060000 0.0000 0.0000 0.0000
0.198750 1.060000 0.0000 0.0000 0.0000
0.203242 1.060000 0.0000 0.0000 0.0000
0.207733 1.060000 0.0000 0.0000 0.0000
0.212225 1.060000 0.0000 0.0000 0.0000
0.216716 1.060000 0.0000 0.0000 0.0000
0.221208 1.060000 0.0000 0.0000 0.0000
0.225699 1.060000 0.0000 0.0000 0.0000
0.230191 1.060000 0.0000 0.0000 0.0000
0.234682 1.060000 0.0000 0.0000 0.0000
0.239174 1.060000 0.0000 0.0000 0.0000
0.243665 1.060000 0.0000 0.0000 0.0000
0.248157 1.060000 0.0000 0.0000 0.0000
0.252648 1.060000 0.0000 0.0000 0.0000
0.257140 1.060000 0.0000 0.0000 0.0000
0.261631 1.060000 0.0000 0.0000 0.0000
0.266123 1.060000 0.0000 0.0000 0.0000
0.270614 1.060000 0.0000 0.0000 0.0000
0.275106 1.060000 0.0000 0.0000 0.0000
0.279597 1.060000 0.0000 0.0000 0.0000
0.284089 1.060000 0.0000 0.0000 0.0000
0.288581 1.060000 0.0000 0.0000 0.0000
0.293072 1.060000 0.0000 0.0000 0.0000
0.297564 1.060000 0.0000 0.0000 0.0000
0.302055 1.060000 0.0000 0.0000 0.0000
0.306547 1.060000 0.0000 0.0000 0.0000
0.311038 1.060000 0.0000 0.0000 0.0000
0.315530 1.060000 0.0000 0.0000 0.0000
0.320021 1.060000 0.0000 0.0000 0.0000
0.324513 1.060000 0.0000 0.0000 0.0000
0.329004 1.060000 0.0000 0.0000 0.0000
0.333496 1.060000 0.0000 0.0000 0.0000
0.337987 1.060000 0.0000 0.0000 0.0000
0.342479 1.060000 0.0000 0.0000 0.0000
